Аймаг/хот,Засаг захиргааны нэгж,2021,2022,2023,2024,Газар нутаг,
,Улсын дүн,2.2,2.2,2.2,2.3,,
,Баруун бүс,1,1,1,1,,
,Завхан,0.9,0.9,0.9,0.9,82500,
Завхан,Улиастай,583.5,587.4,574.9,573.5,32.04,"47.7406013984006, 96.8495600418246"
Завхан,Алдархаан,0.4,0.4,0.4,0.4,7300,"47.63956276662654, 96.53346499969716"
Завхан,Асгат,1.6,1.5,1.5,1.4,700,"49.40921364480672, 96.60960052725046"
Завхан,Баянтэс,0.6,0.6,0.6,0.6,4200,"49.703002446317804, 96.36066113656324"
Завхан,Баянхайрхан,0.7,0.7,0.7,0.7,2600,"49.37298190736553, 96.41780695444277"
Завхан,Дөрвөлжин,0.3,0.3,0.3,0.3,7260,"47.64968890397524, 94.99962493818829"
Завхан,Завханмандал,0.3,0.3,0.3,0.3,3600,"48.32448203298722, 95.11013290683528"
Завхан,Идэр,0.7,0.7,0.7,0.7,3800,"48.21962572339415, 97.37588161067652"
Завхан,Их-Уул,1.7,1.7,1.7,1.7,3800,"48.718017248969495, 98.79569436717765"
Завхан,Нөмрөг,0.6,0.6,0.6,0.6,3300,"48.87584927328111, 96.9650301114461"
Завхан,Отгон,0.4,0.4,0.4,0.4,6000,"47.1987410038816, 97.69228068653165"
Завхан,Сантмаргац,0.6,0.7,0.6,0.6,2400,"48.58948466783755, 95.43662787802035"
Завхан,Сонгино,0.6,0.6,0.6,0.6,2490,"49.0235174439627, 95.93173651915899"
Завхан,Тосонцэнгэл,1.8,1.8,1.8,1.8,5300,"48.76070237000227, 98.26360152308543"
Завхан,Түдэвтэй,0.7,0.7,0.7,0.7,2700,"48.98312276127529, 96.54648531062541"
Завхан,Тэлмэн,0.8,0.8,0.8,0.8,3400,"48.64618086238161, 97.61207632019013"
Завхан,Тэс,3.4,3.3,3.2,3.2,900,"50.47686047619785, 93.59478413115411"
Завхан,Ургамал,0.4,0.4,0.4,0.4,3500,"48.511557952338435, 94.29275239945423"
Завхан,Цагаанхайрхан,0.5,0.5,0.5,0.5,2700,
Завхан,Цагаанчулуут,0.5,0.5,0.5,0.5,2600,
Завхан,Цэцэн-Уул,0.7,0.7,0.6,0.6,2400,
Завхан,Шилүүстэй,0.7,0.7,0.6,0.6,2700,
Завхан,Эрдэнэхайрхан,0.4,0.4,0.4,0.4,4200,
Завхан,Яруу,0.4,0.4,0.4,0.4,5000,
,Говь-Алтай,0.4,0.4,0.4,0.4,141400,
Говь-Алтай,Есөнбулаг,8.7,8.8,8.7,8.7,2161,
Говь-Алтай,Алтай,0.1,0.1,0.1,0.1,20256,
Говь-Алтай,Баян-Уул,0.5,0.5,0.5,0.5,5836,
Говь-Алтай,Бигэр,0.6,0.6,0.6,0.6,3826,
Говь-Алтай,Бугат,0.2,0.2,0.2,0.2,9921,
Говь-Алтай,Дарви,0.5,0.5,0.5,0.5,3523,
