Ажилчдын тооны бүлэг,Аймаг сум,2024-IV
Бүгд,Улсын дүн,"108,378"
Бүгд,Баруун бүс,"8,431"
Бүгд,Баян-Өлгий,"1,621"
Бүгд,Алтай,47
Бүгд,Алтанцөгц,29
Бүгд,Баяннуур,50
Бүгд,Бугат,42
Бүгд,Булган,41
Бүгд,Буянт,33
Бүгд,Дэлүүн,53
Бүгд,Ногооннуур,100
Бүгд,Сагсай,54
Бүгд,Толбо,59
Бүгд,Улаанхус,76
Бүгд,Цэнгэл,81
Бүгд,Өлгий,956
Бүгд,Цагааннуур,0
Бүгд,Говь-Алтай,927
Бүгд,Алтай,21
Бүгд,Баян-Уул,34
Бүгд,Бигэр,44
Бүгд,Бугат,22
Бүгд,Дарви,27
Бүгд,Дэлгэр,49
Бүгд,Жаргалан,26
Бүгд,Тайшир,21
Бүгд,Тонхил,25
Бүгд,Төгрөг,21
Бүгд,Халиун,17
Бүгд,Хөхморьт,26
Бүгд,Цогт,41
Бүгд,Цээл,25
Бүгд,Чандмань,24
Бүгд,Шарга,29
Бүгд,Эрдэнэ,35
Бүгд,Есөнбулаг,440
Бүгд,Завхан,"1,747"
Бүгд,Алдархаан,90
Бүгд,Баянтэс,59
Бүгд,Баянхайрхан,29
Бүгд,Тосонцэнгэл,194
Бүгд,Дөрвөлжин,42
Бүгд,Завханмандал,33
Бүгд,Идэр,53
Бүгд,Их-Уул,80
Бүгд,Нөмрөг,44
Бүгд,Отгон,43
Бүгд,Сантмаргац,38
Бүгд,Сонгино,29
Бүгд,Түдэвтэй,30
Бүгд,Тэс,52
Бүгд,Тэлмэн,40
Бүгд,Ургамал,37
Бүгд,Улиастай,613
Бүгд,Цагаанхайрхан,43
Бүгд,Цагаанчулуут,34
Бүгд,Цэцэн-Уул,25
Бүгд,Шилүүстэй,27
Бүгд,Эрдэнэхайрхан,40
Бүгд,Яруу,31
Бүгд,Асгат,41
Бүгд,Увс,"1,709"
Бүгд,Баруунтуруун,75
Бүгд,Бөхмөрөн,41
Бүгд,Давст,45
Бүгд,Завхан,22
Бүгд,Зүүнговь,31
Бүгд,Зүүнхангай,32
Бүгд,Малчин,39
Бүгд,Наранбулаг,36
Бүгд,Өлгий,22
Бүгд,Өмнөговь,44
Бүгд,Өндөрхангай,50
Бүгд,Сагил,34
Бүгд,Тариалан,46
Бүгд,Түргэн,45
Бүгд,Тэс,66
Бүгд,Ховд,39
Бүгд,Хяргас,40
Бүгд,Цагаанхайрхан,44
Бүгд,Улаангом,958
Бүгд,Ховд,"2,427"
Бүгд,Алтай,71
Бүгд,Булган,184
Бүгд,Буянт,109
Бүгд,Дарви,69
Бүгд,Дуут,56
Бүгд,Зэрэг,57
Бүгд,Манхан,63
Бүгд,Дөргөн,49
Бүгд,Мянгад,71
Бүгд,Мөст,61
Бүгд,Мөнххайрхан,50
Бүгд,Үенч,85
Бүгд,Ховд,31
Бүгд,Цэцэг,84
Бүгд,Чандмань,57
Бүгд,Эрдэнэбүрэн,46
Бүгд,Жаргалант,"1,284"
Бүгд,Хангайн бүс,"9,645"
Бүгд,Архангай,"1,160"
Бүгд,Ихтамир,46
Бүгд,Чулуут,42
Бүгд,Хангай,30
Бүгд,Тариат,49
Бүгд,Өндөр-Улаан,46
Бүгд,Эрдэнэмандал,33
Бүгд,Жаргалант,43
Бүгд,Цэцэрлэг,36
Бүгд,Хайрхан,38
Бүгд,Батцэнгэл,39
Бүгд,Өлзийт,32
Бүгд,Өгийнуур,27
Бүгд,Хашаат,28
Бүгд,Хотонт,34
Бүгд,Цэнхэр,72
Бүгд,Төвшрүүлэх,25
Бүгд,Булган,24
Бүгд,Эрдэнэбулган,481
Бүгд,Цахир,35
